"","Order","H","NH","SF","OF","NF","HWD","LWD","NCC","Season"
"1","acholeplasmatales",35.6666666666667,11.5,23.5,42,18.5,37.3333333333333,8.33333333333333,5,"Bloom"
"2","acidimicrobiales",805,708.5,820.5,1184,794.666666666667,379.666666666667,200,209,"Bloom"
"3","acidithiobacillales",1.5,8,0,0,3,2.66666666666667,2,1.5,"Bloom"
"4","acidobacteria",98.3333333333333,82.5,128,225.5,87.6666666666667,122,40.6666666666667,33,"Bloom"
"5","acidobacteriales",1333.33333333333,1297,1500.5,1800.5,1835.33333333333,594,354.333333333333,332.333333333333,"Bloom"
"6","actinomycetales",4637.66666666667,3166.5,4322,2752,2317.66666666667,3735,1933,1823.33333333333,"Bloom"
"7","aeromonadales",16.6666666666667,12,21,15.5,19,70,8.33333333333333,15.6666666666667,"Bloom"
"8","alphaproteobacteria",9.33333333333333,24.5,10,20,27.6666666666667,7,5.33333333333333,3,"Bloom"
"9","alteromonadales",92.5,137,227,270,142.666666666667,35.6666666666667,14,22.5,"Bloom"
"10","anaerolineales",383.666666666667,374.5,342,414.5,316.333333333333,247.333333333333,70,101.333333333333,"Bloom"
"11","armatimonadales",10.6666666666667,11,6,23,3,5.33333333333333,2.5,3.33333333333333,"Bloom"
"12","bacillales",738.333333333333,419.5,452,346,368,512.666666666667,208.333333333333,511.666666666667,"Bloom"
"13","bacteroidales",235.5,216.5,188.5,549,192.333333333333,211.333333333333,123,94.3333333333333,"Bloom"
"14","bacteroidetes",77,22,25.5,23,11.5,24,15,13,"Bloom"
"15","bacteroidetes order ii. incertae sedis",49,41,75,316,71.3333333333333,24,15.6666666666667,9.66666666666667,"Bloom"
"16","bdellovibrionales",169,112.5,147,326,166.333333333333,119.666666666667,48.6666666666667,37.6666666666667,"Bloom"
"17","betaproteobacteria",22.6666666666667,14.5,10,11.5,15,11.6666666666667,2,1.5,"Bloom"
"18","bifidobacteriales",14,4,0,0,0,0,0,0,"Bloom"
"19","blastocatellales",17,11,5.5,16.5,3.66666666666667,11.6666666666667,4,1,"Bloom"
"20","blastocatellia",11,11.5,13.5,23,11,16.6666666666667,5,2.5,"Bloom"
"21","burkholderiales",2098,1565,3255,3609,1733.66666666667,2258.33333333333,1031.33333333333,875,"Bloom"
"22","caldilineales",37.3333333333333,27.5,21.5,33,6,20.3333333333333,11.3333333333333,10,"Bloom"
"23","campylobacterales",30.3333333333333,30.5,30.5,11,34,10.3333333333333,4.33333333333333,4.33333333333333,"Bloom"
"24","candidatus brocadiales",102.333333333333,92,134,138,121.333333333333,53.6666666666667,15.3333333333333,19.6666666666667,"Bloom"
"25","candidatus nanopelagicales",6.33333333333333,4.5,7,2.5,3,0,0,0,"Bloom"
"26","candidatus saccharibacteria",33,34.5,27,5.5,30,10,3.33333333333333,4.5,"Bloom"
"27","cardiobacteriales",7,1,0,0,1,0,0,1,"Bloom"
"28","caulobacterales",180.333333333333,230.5,365,371.5,235.666666666667,126,116.333333333333,78.6666666666667,"Bloom"
"29","cellvibrionales",1,1,1,0,1,0,2,1.5,"Bloom"
"30","chlamydiales",56.6666666666667,38.5,23.5,2.5,76,9.66666666666667,18.6666666666667,15,"Bloom"
"31","chloroflexales",440,356,229,159.5,262,259.333333333333,94.6666666666667,92,"Bloom"
"32","chloroflexi",191.333333333333,136.5,102,67.5,47.5,128.333333333333,33.3333333333333,26.3333333333333,"Bloom"
"33","chromatiales",328.666666666667,272,405.5,698.5,358.666666666667,106.333333333333,54,73,"Bloom"
"34","chroococcales",67.3333333333333,47.5,76,111.5,17,18,12,9.66666666666667,"Bloom"
"35","chthonomonadales",16,13.5,17,9,17.5,10,2.5,3,"Bloom"
"36","clostridiales",529.333333333333,476.5,395.5,412.5,647.666666666667,280.666666666667,121,131,"Bloom"
"37","cytophagales",2823.66666666667,2406.5,3312,3149,2694,1270,877.333333333333,948.666666666667,"Bloom"
"38","dehalococcoidales",392.333333333333,342,357.5,160.5,354.333333333333,136.333333333333,54.6666666666667,57.3333333333333,"Bloom"
"39","dehalococcoidia",78.3333333333333,57.5,75.5,51,48.3333333333333,33,12.3333333333333,22.6666666666667,"Bloom"
"40","deinococcales",11,3.5,3.5,5,8.5,11.3333333333333,6.66666666666667,4,"Bloom"
"41","deltaproteobacteria",17.6666666666667,13,3.5,46,7.5,6.5,2,1,"Bloom"
"42","desulfarculales",8,0,0,0,0,0,0,0,"Bloom"
"43","desulfobacterales",64.6666666666667,92,38,19,55,29.3333333333333,21,17,"Bloom"
"44","desulfovibrionales",70.6666666666667,58.5,35,84,57.6666666666667,16.5,11,11.6666666666667,"Bloom"
"45","desulfuromonadales",1435.66666666667,1565,1683.5,1984,2295.66666666667,759.333333333333,332.333333333333,376.333333333333,"Bloom"
"46","elusimicrobiales",9,11,13,13,10.3333333333333,5,3,2.5,"Bloom"
"47","enterobacteriales",169,124,159,132.5,120.666666666667,203,55.3333333333333,40.3333333333333,"Bloom"
"48","entomoplasmatales",4.33333333333333,15,6.5,2,13,0,0,4.5,"Bloom"
"49","epsilonproteobacteria",7,0,0,0,30,1,0,0,"Bloom"
"50","erysipelotrichales",52.6666666666667,52.5,28.5,7.5,24.3333333333333,20.3333333333333,6,11.3333333333333,"Bloom"
"51","euzebyales",8.33333333333333,6,5,7,9,2,5,1,"Bloom"
"52","ferrovales",3,4,0,0,0,3,0,0,"Bloom"
"53","fibrobacterales",114.666666666667,88.5,78.5,125,72,14,15.3333333333333,22,"Bloom"
"54","fimbriimonadales",6,2,1,0,2,2.5,1,1,"Bloom"
"55","flavobacteriales",830.666666666667,616.5,1059.5,875.5,875.333333333333,408,206.333333333333,200.666666666667,"Bloom"
"56","fusobacteriales",173,453,501,114.5,277.666666666667,189.666666666667,86.3333333333333,64.6666666666667,"Bloom"
"57","gaiellales",160.333333333333,80.5,48,27.5,63.3333333333333,86.3333333333333,33,31,"Bloom"
"58","gallionellales",1.5,0,2.5,0,3,2.5,1,1,"Bloom"
"59","gammaproteobacteria",28.3333333333333,24.5,23,46.5,45,3.5,3.66666666666667,6,"Bloom"
"60","gemmatimonadales",2017,2600,3459,6550.5,3315.66666666667,995,535.666666666667,523.666666666667,"Bloom"
"61","gloeobacterales",25.3333333333333,10,11,1,49.5,1,0,2,"Bloom"
"62","halanaerobiales",2,0,8,0,12,0,0,3,"Bloom"
"63","herpetosiphonales",113.666666666667,64,30.5,76,14,70.6666666666667,11.3333333333333,13.6666666666667,"Bloom"
"64","holophagales",263,323,341,377,585.333333333333,102,48.3333333333333,49,"Bloom"
"65","hydrogenophilales",724.666666666667,924,939.5,969.5,1453.66666666667,322,137.333333333333,239.666666666667,"Bloom"
"66","ignavibacteriales",138.333333333333,138.5,80,59,176.666666666667,72,40.6666666666667,36,"Bloom"
"67","kordiimonadales",1,8,4,0,15,1,1,0,"Bloom"
"68","ktedonobacterales",6.66666666666667,5.5,9,3.5,2,3,1,1.5,"Bloom"
"69","lactobacillales",154.333333333333,120.5,90.5,124.5,111,135.333333333333,46.3333333333333,52.3333333333333,"Bloom"
"70","legionellales",160.333333333333,100,116.5,109,191.666666666667,63.6666666666667,32,45,"Bloom"
"71","magnetococcales",4,3,14,0,2,1,0,2,"Bloom"
"72","methylococcales",14.6666666666667,25.5,9.5,0,17.6666666666667,5.66666666666667,8,2,"Bloom"
"73","methylophilales",279.333333333333,209,310,256,236.333333333333,87.6666666666667,36,46.6666666666667,"Bloom"
"74","mollicutes",1,0,0,0,0,0,0,0,"Bloom"
"75","mycoplasmatales",17,12,3,13.5,17,8.5,2,1,"Bloom"
"76","myxococcales",2559.33333333333,2320.5,2863.5,3874.5,3394.66666666667,1039.33333333333,681.333333333333,673.333333333333,"Bloom"
"77","neisseriales",14.3333333333333,18,16.5,50,11.3333333333333,9.33333333333333,6.33333333333333,3.5,"Bloom"
"78","nitriliruptorales",1,1,0,27,18,4,0,2,"Bloom"
"79","nitrosomonadales",379.333333333333,407.5,367,292,401.333333333333,163.333333333333,71.3333333333333,80.6666666666667,"Bloom"
"80","nitrospinales",3.5,2,2,0,44,7.33333333333333,1,2.5,"Bloom"
"81","nitrospirales",450.666666666667,296.5,396,445,480.333333333333,143.333333333333,88,65.3333333333333,"Bloom"
"82","nostocales",1,1,3,6,0,1,0,1,"Bloom"
"83","oceanospirillales",48,17,33,49,45.3333333333333,40.6666666666667,11.6666666666667,17,"Bloom"
"84","oligoflexales",21,4,0,0,0,1,2,0,"Bloom"
"85","opitutales",1427.66666666667,1186,1254,1125,1275.66666666667,779.666666666667,354.333333333333,328.333333333333,"Bloom"
"86","oscillatoriales",13,5.5,30,9,28,5,11,5,"Bloom"
"87","pelagibacterales",1,0,0,0,2,4,0,0,"Bloom"
"88","phycisphaerales",330,482,382.5,520,343,204.666666666667,104,81.6666666666667,"Bloom"
"89","planctomycetales",1382.66666666667,1270,933.5,953.5,763,803.333333333333,319,232.666666666667,"Bloom"
"90","prochlorales",88.6666666666667,76,72.5,31.5,135.333333333333,27,12.3333333333333,10,"Bloom"
"91","pseudomonadales",706,753.5,1248,1917,814.666666666667,813.666666666667,420,639.666666666667,"Bloom"
"92","rhizobiales",2465.33333333333,2431.5,2900.5,2060,2895.33333333333,1422.66666666667,844.666666666667,762.333333333333,"Bloom"
"93","rhodobacterales",133.666666666667,56.5,59,196,42.3333333333333,100,32.6666666666667,32.6666666666667,"Bloom"
"94","rhodocyclales",332.333333333333,362.5,383.5,446.5,553,218.666666666667,114.333333333333,134.333333333333,"Bloom"
"95","rhodospirillales",887.333333333333,894,1003,551.5,975.666666666667,413,197.666666666667,216.333333333333,"Bloom"
"96","rickettsiales",71,60.5,31.5,76.5,41.3333333333333,22,20.6666666666667,11.6666666666667,"Bloom"
"97","rubrobacterales",163.333333333333,104.5,116,110,122.333333333333,74.6666666666667,33.3333333333333,29.6666666666667,"Bloom"
"98","salinisphaerales",1,0,0,0,1,0,0,0,"Bloom"
"99","selenomonadales",1,1,0,2,0,0,0,0,"Bloom"
"100","silvanigrellales",5.33333333333333,2,4,1,0,0,1,1,"Bloom"
"101","sneathiellales",1,1.5,1,0,6.5,1,0,1,"Bloom"
"102","solibacterales",161.666666666667,160.5,144,337,183.666666666667,94,50.6666666666667,40,"Bloom"
"103","solirubrobacterales",1315.33333333333,1068.5,950.5,1000,625.333333333333,982.666666666667,451.333333333333,413.666666666667,"Bloom"
"104","spartobacteria",68.3333333333333,76,82.5,75,68.6666666666667,60.3333333333333,16.3333333333333,22.3333333333333,"Bloom"
"105","sphaerobacterales",84.6666666666667,70.5,32,66.5,33.6666666666667,34.3333333333333,16,15.3333333333333,"Bloom"
"106","sphingobacteriales",5310.33333333333,4888.5,11028,10502.5,4995,3061.66666666667,1882.33333333333,2661,"Bloom"
"107","sphingomonadales",2300,1765,2436.5,3640,1701.66666666667,948.333333333333,673.666666666667,854.333333333333,"Bloom"
"108","spirochaetales",53.5,10.5,18,15,9,24.6666666666667,8.66666666666667,4.33333333333333,"Bloom"
"109","synechococcales",39.6666666666667,59.5,30,17.5,39.3333333333333,45,13.3333333333333,8.66666666666667,"Bloom"
"110","synergistales",4.33333333333333,4.5,4,11,8.33333333333333,2,1.5,2,"Bloom"
"111","syneschococcales",8.66666666666667,17.5,27,5,30,7.66666666666667,2.5,6.5,"Bloom"
"112","syntrophobacterales",481.666666666667,613.5,578,502.5,603,241,163.333333333333,134.333333333333,"Bloom"
"113","thermales",53,76.5,61.5,37,64.3333333333333,19.5,20.3333333333333,8.66666666666667,"Bloom"
"114","thermoanaerobacterales",352,368,335.5,305.5,317.666666666667,126,51,66.3333333333333,"Bloom"
"115","thermodesulfobacteriales",3.5,29,0,0,10,0,3,6,"Bloom"
"116","thermoleophilales",252,203.5,121,55.5,97,134.666666666667,59.3333333333333,83,"Bloom"
"117","thermomicrobiales",24.3333333333333,12.5,16.5,0,16,3.5,5.5,3.66666666666667,"Bloom"
"118","thermotogales",3,0,0,0,0,2,0,0,"Bloom"
"119","thiotrichales",21,22,16,10,43.6666666666667,7.33333333333333,5.33333333333333,3.5,"Bloom"
"120","verrucomicrobiales",2759,2485.5,2339,1675.5,2855,1170.33333333333,566.666666666667,617.666666666667,"Bloom"
"121","xanthomonadales",1549,1654,2846.5,4336,2735.66666666667,706.666666666667,443.333333333333,637,"Bloom"
"122","procabacteriales",0,2,0,0,0,0,0,0,"Bloom"
"123","puniceicoccales",0,2,0,0,4,0,2,0,"Bloom"
"124","orbales",0,0,1,0,1.5,0,0,0,"Bloom"
