"","Order","H","NH","SF","OF","NF","HWD","LWD","NCC","Season"
"1","acholeplasmatales",14,73.5,35.5,93.3333333333333,93.3333333333333,11.3333333333333,12.3333333333333,9.33333333333333,"Harvest"
"2","acidimicrobiales",615.333333333333,820,865.5,924.666666666667,924.666666666667,271.333333333333,221.333333333333,182.666666666667,"Harvest"
"3","acidithiobacillales",2,2,1,3,3,3,4,2,"Harvest"
"4","acidobacteria",93.3333333333333,56,139,138.333333333333,138.333333333333,55,30.5,26,"Harvest"
"5","acidobacteriales",605,739,873,785.666666666667,785.666666666667,309,312,156.666666666667,"Harvest"
"6","actinomycetales",7245,9451.5,7904,10707,10707,3337,4170.33333333333,2758.33333333333,"Harvest"
"7","aeromonadales",7.5,4.5,56,12.3333333333333,12.3333333333333,18,3.5,79,"Harvest"
"8","alphaproteobacteria",21.3333333333333,29.5,24,24,24,5,4,3,"Harvest"
"9","alteromonadales",14,13.5,57,52.3333333333333,52.3333333333333,10,8,6.5,"Harvest"
"10","anaerolineales",563.666666666667,587.5,765.5,918.333333333333,918.333333333333,256,224,222,"Harvest"
"11","anaeroplasmatales",7,0,0,3,3,0,0,0,"Harvest"
"12","armatimonadales",20.6666666666667,9,10,6,6,6,10,3.5,"Harvest"
"13","bacillales",2816.33333333333,5539,5029.5,3323.66666666667,3323.66666666667,868,1577.66666666667,610.666666666667,"Harvest"
"14","bacteroidales",163.333333333333,161,232.5,224.666666666667,224.666666666667,76.6666666666667,57,57,"Harvest"
"15","bacteroidetes",6,11.5,30.5,10.3333333333333,10.3333333333333,19.5,5.33333333333333,3.33333333333333,"Harvest"
"16","bacteroidetes order ii. incertae sedis",22.6666666666667,22,32.5,65,65,8.66666666666667,5.5,4,"Harvest"
"17","bdellovibrionales",86.3333333333333,98.5,93,124.666666666667,124.666666666667,22,30,25.6666666666667,"Harvest"
"18","betaproteobacteria",1,0,4,6.33333333333333,6.33333333333333,4,4,3,"Harvest"
"19","blastocatellales",11,50,16.5,16,16,7.33333333333333,2.66666666666667,3,"Harvest"
"20","blastocatellia",10,4,13.5,13.3333333333333,13.3333333333333,8,2.33333333333333,4,"Harvest"
"21","burkholderiales",1596,2858,1925.5,2011,2011,889.666666666667,762.333333333333,534,"Harvest"
"22","caldilineales",98,38.5,89,117.333333333333,117.333333333333,44.3333333333333,31.6666666666667,27.5,"Harvest"
"23","caldisericales",10,0,0,0,0,0,0,0,"Harvest"
"24","campylobacterales",9.33333333333333,4,21,12,12,4.66666666666667,4.33333333333333,4,"Harvest"
"25","candidatus brocadiales",67.3333333333333,30,17.5,76.3333333333333,76.3333333333333,13.6666666666667,18.5,11.3333333333333,"Harvest"
"26","candidatus nanopelagicales",7,7.5,10,3.33333333333333,3.33333333333333,0,0,0,"Harvest"
"27","candidatus saccharibacteria",8.33333333333333,6,8.5,9,9,3,3,1.5,"Harvest"
"28","caulobacterales",216.666666666667,212,253.5,425,425,123.333333333333,71,75.3333333333333,"Harvest"
"29","cellvibrionales",5,7,0,1,1,0,0,0,"Harvest"
"30","chlamydiales",28,8,19,21,21,1.5,6.33333333333333,2.33333333333333,"Harvest"
"31","chloroflexales",538.666666666667,339,518,586.333333333333,586.333333333333,275.333333333333,188,154.666666666667,"Harvest"
"32","chloroflexi",356,249,305.5,230.666666666667,230.666666666667,86,91.6666666666667,57.6666666666667,"Harvest"
"33","chromatiales",96.3333333333333,114.5,129.5,138.666666666667,138.666666666667,40.3333333333333,29.6666666666667,30.6666666666667,"Harvest"
"34","chroococcales",21.3333333333333,32.5,34.5,71,71,3.33333333333333,4,5.33333333333333,"Harvest"
"35","chthonomonadales",2.66666666666667,2,1.5,4.66666666666667,4.66666666666667,2.5,7,2,"Harvest"
"36","clostridiales",396,346.5,457,480.333333333333,480.333333333333,245,184.666666666667,150.666666666667,"Harvest"
"37","cytophagales",1630,1588.5,1734,1840.33333333333,1840.33333333333,627,706.333333333333,502.666666666667,"Harvest"
"38","dehalococcoidales",375,303,286.5,325,325,181.333333333333,97.6666666666667,97,"Harvest"
"39","dehalococcoidia",74.3333333333333,48,55.5,53.6666666666667,53.6666666666667,19.3333333333333,21,16.3333333333333,"Harvest"
"40","deinococcales",16,18,31.5,20,20,28.3333333333333,7.66666666666667,6,"Harvest"
"41","deltaproteobacteria",5.5,3,11,10.5,10.5,5,1,1,"Harvest"
"42","desulfobacterales",37,26,45,22.3333333333333,22.3333333333333,6.66666666666667,12.3333333333333,5.33333333333333,"Harvest"
"43","desulfovibrionales",18.6666666666667,27,31,34.6666666666667,34.6666666666667,3.33333333333333,11,6,"Harvest"
"44","desulfuromonadales",801.333333333333,850.5,1069,1056,1056,441,300.666666666667,226.333333333333,"Harvest"
"45","elusimicrobiales",40,0,17,17,17,3,8.5,1,"Harvest"
"46","enterobacteriales",288.333333333333,472.5,233.5,264.333333333333,264.333333333333,23.3333333333333,63.6666666666667,71,"Harvest"
"47","entomoplasmatales",19.3333333333333,14,6.5,1.5,1.5,1,4,7,"Harvest"
"48","epsilonproteobacteria",7,0,0,0,0,0,0,0,"Harvest"
"49","erysipelotrichales",49.3333333333333,35.5,10.5,39,39,10.5,14.3333333333333,5,"Harvest"
"50","euzebyales",22.3333333333333,26,46,43.6666666666667,43.6666666666667,14,7.5,6,"Harvest"
"51","fibrobacterales",23.5,12,39,49.6666666666667,49.6666666666667,6.5,2,3.66666666666667,"Harvest"
"52","fimbriimonadales",11.5,19,10.5,5,5,2.5,2.5,1.5,"Harvest"
"53","flavobacteriales",322.666666666667,274,360.5,361,361,275,161.333333333333,88.6666666666667,"Harvest"
"54","fusobacteriales",31,15,23,8,8,83.3333333333333,17.6666666666667,10.3333333333333,"Harvest"
"55","gaiellales",283.666666666667,150,222,199,199,63.6666666666667,112.333333333333,58.6666666666667,"Harvest"
"56","gallionellales",2,0,1,1,1,0,1,1,"Harvest"
"57","gammaproteobacteria",6,13.5,7,3.33333333333333,3.33333333333333,3,3.33333333333333,2,"Harvest"
"58","gemmatimonadales",1171,907,1564.5,1739.66666666667,1739.66666666667,559.333333333333,488.333333333333,266.333333333333,"Harvest"
"59","gloeobacterales",2.5,1,0,2.5,2.5,0,2,1,"Harvest"
"60","herpetosiphonales",82.6666666666667,66.5,144.5,112.666666666667,112.666666666667,33,28.3333333333333,24,"Harvest"
"61","holophagales",116.666666666667,93,153,152,152,34.3333333333333,45.3333333333333,25,"Harvest"
"62","hydrogenophilales",261,266.5,276,339.5,339.5,111.333333333333,119.333333333333,83.3333333333333,"Harvest"
"63","ignavibacteriales",31.6666666666667,9.5,23,36.3333333333333,36.3333333333333,9.66666666666667,11,8.66666666666667,"Harvest"
"64","kallotenuales",7.66666666666667,4,7.5,4,4,1.5,1,0,"Harvest"
"65","kordiimonadales",1,7,0,1.5,1.5,0,2,0,"Harvest"
"66","lactobacillales",113.666666666667,79.5,92,147,147,117,74.6666666666667,46,"Harvest"
"67","legionellales",82.3333333333333,72,41.5,54.6666666666667,54.6666666666667,20.5,14.3333333333333,9,"Harvest"
"68","magnetococcales",5,0,0,9.5,9.5,0,4,0,"Harvest"
"69","methylococcales",4,6.5,6,2,2,1.5,2.5,0,"Harvest"
"70","methylophilales",94.6666666666667,136,183,128.333333333333,128.333333333333,43,38.6666666666667,38.6666666666667,"Harvest"
"71","mycoplasmatales",135,142.5,8.5,13.6666666666667,13.6666666666667,3,4,3,"Harvest"
"72","myxococcales",1003,934,1256,1397,1397,348.333333333333,349.666666666667,197,"Harvest"
